symbol,entry_date,exit_date,exit_reason,entry_price,exit_price,shares,pnl,return,sector
EFA,2002-06-28,2002-07-01,EFA_BELOW_SMA200,20.52754020690918,20.363046646118164,5152,-865.5028251953125,-0.008013310856195499,International Equity
EFA,2002-07-05,2002-07-09,EFA_BELOW_SMA200,20.5690975189209,20.30243682861328,5103,-1378.6300026397705,-0.01296414147788083,International Equity
EFA,2003-04-22,2003-04-25,EFA_BELOW_SMA200,17.412086486816406,17.119157791137695,6247,-1851.7900619049071,-0.01682329661643378,International Equity
EFA,2003-04-28,2004-07-23,EFA_BELOW_SMA200,17.422679901123047,24.232177734375,6137,41768.408702667235,0.3908410113654801,International Equity
EFA,2004-07-27,2004-08-05,EFA_BELOW_SMA200,24.38271713256836,24.12285804748535,6100,-1606.4904190063476,-0.010657511370458006,International Equity
EFA,2004-08-18,2004-08-19,EFA_BELOW_SMA200,24.495634078979492,24.438278198242188,6018,-366.2306902770996,-0.0023414736092307598,International Equity
EFA,2004-08-20,2004-08-23,EFA_BELOW_SMA200,24.5529842376709,24.354055404663086,5990,-1212.5487097167968,-0.008102022592536895,International Equity
EFA,2004-08-25,2006-06-13,EFA_BELOW_SMA200,24.606748580932617,33.062522888183594,5929,50113.53436769104,0.34363639224579323,International Equity
EFA,2006-06-15,2006-07-18,EFA_BELOW_SMA200,34.697303771972656,34.308067321777344,5651,-2219.353680053711,-0.011218060422024112,International Equity
EFA,2006-07-19,2007-08-14,EFA_BELOW_SMA200,35.153263092041016,43.17474365234375,5515,44219.16279006958,0.22818594505153822,International Equity
EFA,2007-08-22,2007-08-28,EFA_BELOW_SMA200,43.48135757446289,43.07822799682617,5483,-2229.549974182129,-0.009271319943181422,International Equity
EFA,2007-08-29,2007-11-19,EFA_BELOW_SMA200,44.0661735534668,44.951934814453125,5361,4729.802620147705,0.02010070740341474,International Equity
EFA,2007-11-20,2007-11-21,EFA_BELOW_SMA200,45.9569206237793,44.9178581237793,5244,-5467.19775,-0.02260948918893324,International Equity
EFA,2007-11-23,2007-12-14,EFA_BELOW_SMA200,46.04774856567383,45.389129638671875,5115,-3386.7383116149904,-0.014302956116575838,International Equity
EFA,2007-12-21,2008-01-02,EFA_BELOW_SMA200,45.57081985473633,45.54753494262695,5100,-136.6030517578125,-0.000510961009338895,International Equity
EFA,2008-05-01,2008-05-07,EFA_BELOW_SMA200,44.41203689575195,44.15584182739258,5325,-1382.876239013672,-0.005768595323847436,International Equity
EFA,2008-05-08,2008-05-09,EFA_BELOW_SMA200,44.5401496887207,44.1849250793457,5279,-1893.707212890625,-0.007975379783354386,International Equity
EFA,2008-05-12,2008-06-02,EFA_BELOW_SMA200,44.62749481201172,44.202423095703125,5227,-2240.1443611450195,-0.009524884112342868,International Equity
EFA,2008-06-05,2008-06-06,EFA_BELOW_SMA200,44.580902099609375,43.29985046386719,5185,-6660.400231323242,-0.02873543547593249,International Equity
EFA,2009-05-08,2009-05-11,EFA_BELOW_SMA200,27.609987258911133,26.906953811645508,8554,-6043.687107910157,-0.025463012375665617,International Equity
EFA,2009-05-18,2010-02-08,EFA_BELOW_SMA200,27.291519165039062,31.245920181274414,8441,33349.5554780426,0.14489486614219005,International Equity
EFA,2010-02-09,2010-05-04,EFA_BELOW_SMA200,32.23047637939453,32.589637756347656,8183,2910.377047607422,0.011143532994217331,International Equity
EFA,2010-08-02,2010-08-11,EFA_BELOW_SMA200,33.80872344970703,32.101280212402344,7982,-13656.748920166016,-0.05050303776907272,International Equity
EFA,2010-09-03,2010-09-07,EFA_BELOW_SMA200,33.071563720703125,32.61162185668945,7771,-3601.406725250244,-0.013907472531325848,International Equity
EFA,2010-09-09,2011-06-15,EFA_BELOW_SMA200,33.17236328125,37.071537017822266,7641,29766.84302114868,0.1175428384017545,International Equity
EFA,2011-06-17,2011-06-24,EFA_BELOW_SMA200,37.30685043334961,37.02037048339844,7594,-2202.1077399291994,-0.007679017301741475,International Equity
EFA,2011-06-28,2011-07-12,EFA_BELOW_SMA200,37.7724494934082,37.36399841308594,7445,-3066.9757929992675,-0.01081346552315987,International Equity
EFA,2011-07-13,2011-07-18,EFA_BELOW_SMA200,37.921566009521484,37.16299819946289,7335,-5589.767386779785,-0.020003599267713,International Equity
EFA,2011-07-19,2011-08-01,EFA_BELOW_SMA200,37.72057342529297,37.58442687988281,7227,-1009.2255836791992,-0.0036093445313020167,International Equity
EFA,2012-02-03,2012-04-10,EFA_BELOW_SMA200,35.36585998535156,33.896114349365234,7839,-11548.772540496826,-0.0415583174449905,International Equity
EFA,2012-04-11,2012-05-09,EFA_BELOW_SMA200,34.3685302734375,33.62054443359375,7731,-5809.737027832031,-0.021763684216134394,International Equity
EFA,2012-06-29,2012-07-05,EFA_BELOW_SMA200,33.54436111450195,33.51078796386719,7788,-288.72569714355467,-0.0010008582521564557,International Equity
EFA,2012-07-19,2012-07-20,EFA_BELOW_SMA200,33.79278564453125,33.00050354003906,7733,-6153.783014038086,-0.023445303172880183,International Equity
EFA,2012-07-27,2012-07-31,EFA_BELOW_SMA200,33.81962966918945,33.57120895385742,7550,-1902.001400756836,-0.007345459360791007,International Equity
EFA,2012-08-03,2013-06-24,EFA_BELOW_SMA200,34.23591613769531,38.71067810058594,7405,33109.694835205075,0.1307037306930341,International Equity
EFA,2013-06-25,2014-08-06,EFA_BELOW_SMA200,39.206172943115234,46.82770919799805,7311,55695.463059448244,0.19439633309634696,International Equity
EFA,2014-08-11,2014-08-12,EFA_BELOW_SMA200,46.89927291870117,46.863487243652344,7302,-286.863999206543,-0.0007630326190953829,International Equity
EFA,2014-08-13,2014-09-17,EFA_BELOW_SMA200,47.12828063964844,47.01377868652344,7261,-856.812181640625,-0.0024295805314966668,International Equity
EFA,2014-09-18,2014-09-22,EFA_BELOW_SMA200,47.37877655029297,47.006629943847656,7205,-2706.5337994384768,-0.007854711192262998,International Equity
EFA,2015-02-18,2015-03-06,EFA_BELOW_SMA200,46.50517272949219,46.114933013916016,7394,-2911.3114569702147,-0.008391318485065913,International Equity
EFA,2015-03-18,2015-07-06,EFA_BELOW_SMA200,46.97492218017578,46.07046890258789,7265,-6596.280561676025,-0.019253960104900103,International Equity
EFA,2015-07-10,2015-08-19,EFA_BELOW_SMA200,47.253658294677734,46.18071365356445,7087,-7628.763171569824,-0.022706065092829575,International Equity
EFA,2016-04-18,2016-04-29,EFA_BELOW_SMA200,43.59124755859375,43.316959381103516,7704,-2140.0801193847656,-0.006292276382352857,International Equity
EFA,2016-05-02,2016-05-03,EFA_BELOW_SMA200,43.724693298339844,43.00558853149414,7632,-5514.919580566407,-0.016446193503042994,International Equity
EFA,2016-05-24,2016-06-10,EFA_BELOW_SMA200,42.961116790771484,42.3680305480957,7655,-4566.867687683105,-0.01380518680564613,International Equity
EFA,2016-06-20,2016-06-24,EFA_BELOW_SMA200,42.89439010620117,40.59854507446289,7566,-17396.844510131836,-0.05352320026124757,International Equity
EFA,2016-07-12,2016-11-04,EFA_BELOW_SMA200,42.989356994628906,42.80020523071289,7155,-1378.4233708190918,-0.004399967274217431,International Equity
EFA,2016-11-07,2016-11-16,EFA_BELOW_SMA200,43.39034652709961,42.66402816772461,7058,-5151.05798046875,-0.016739169366194684,International Equity
EFA,2016-11-17,2016-11-18,EFA_BELOW_SMA200,42.989356994628906,42.52027893066406,7004,-3309.9367600097657,-0.010911492907964448,International Equity
EFA,2016-11-22,2016-11-23,EFA_BELOW_SMA200,42.989356994628906,42.83804702758789,6929,-1072.6782616271973,-0.0035197076118147486,International Equity
EFA,2016-12-05,2018-03-23,EFA_BELOW_SMA200,43.3298225402832,53.3345947265625,6856,68568.72210913086,0.23089806511388278,International Equity
EFA,2018-03-26,2018-05-29,EFA_BELOW_SMA200,54.292335510253906,54.00187301635742,6735,-1979.8373963928223,-0.0053499723518364295,International Equity
EFA,2018-05-30,2018-05-31,EFA_BELOW_SMA200,54.82613754272461,54.480735778808594,6634,-2314.6143018188477,-0.0062999470580406,International Equity
EFA,2018-06-01,2018-06-18,EFA_BELOW_SMA200,54.951744079589844,54.559234619140625,6578,-2604.950230834961,-0.0071428025993265365,International Equity
EFA,2018-07-25,2018-07-26,EFA_BELOW_SMA200,55.22695541381836,54.97875213623047,6524,-1642.1121829833985,-0.004494241547955857,International Equity
EFA,2018-07-27,2018-08-01,EFA_BELOW_SMA200,55.08283615112305,54.866676330566406,6512,-1430.4247514648437,-0.003924268168828404,International Equity
EFA,2019-02-26,2019-02-27,EFA_BELOW_SMA200,52.2924690246582,52.08206558227539,6988,-1494.7572553710938,-0.004023589750248746,International Equity
EFA,2019-03-01,2019-03-04,EFA_BELOW_SMA200,52.2924690246582,52.09824752807617,6961,-1376.3393377075195,-0.003714138961203872,International Equity
EFA,2019-03-05,2019-03-06,EFA_BELOW_SMA200,52.14680862426758,52.01731872558594,6954,-924.811755432129,-0.0024831797400038935,International Equity
EFA,2019-03-13,2019-05-13,EFA_BELOW_SMA200,52.21963882446289,51.63698959350586,6932,-4063.186468994141,-0.011157664895301456,International Equity
EFA,2019-05-14,2019-05-29,EFA_BELOW_SMA200,52.1548957824707,51.58033752441406,6863,-3967.2138250427247,-0.011016382056500018,International Equity
EFA,2019-05-30,2019-05-31,EFA_BELOW_SMA200,51.77455520629883,51.30520248413086,6837,-3232.8940614624025,-0.009065316356611897,International Equity
EFA,2019-06-03,2019-08-05,EFA_BELOW_SMA200,51.60462188720703,51.3455696105957,6798,-1784.8303764038085,-0.00501994331394473,International Equity
EFA,2019-08-06,2019-08-12,EFA_BELOW_SMA200,51.69278335571289,51.618385314941406,6752,-525.9675712890624,-0.0014392345689635544,International Equity
EFA,2019-08-13,2019-08-14,EFA_BELOW_SMA200,52.10612869262695,50.675960540771484,6689,-9589.80626776123,-0.027447215668083946,International Equity
EFA,2019-08-19,2019-08-20,EFA_BELOW_SMA200,51.775455474853516,51.60184860229492,6548,-1159.6958015136718,-0.0033530728212117777,International Equity
EFA,2019-08-21,2019-08-23,EFA_BELOW_SMA200,51.96559143066406,51.22156524658203,6502,-4860.415248901367,-0.01431766989652683,International Equity
EFA,2019-08-29,2020-02-24,EFA_BELOW_SMA200,52.04825973510742,54.78312301635742,6401,17483.45636328125,0.05254475932852931,International Equity
EFA,2020-06-03,2020-06-04,EFA_BELOW_SMA200,52.67639923095703,52.45067596435547,6705,-1536.9420025634765,-0.004285092942892477,International Equity
EFA,2020-06-05,2020-06-11,EFA_BELOW_SMA200,53.35356140136719,50.37739562988281,6591,-19638.977099853517,-0.055781951444540456,International Equity
EFA,2020-06-23,2020-06-24,EFA_BELOW_SMA200,52.66108703613281,51.31296920776367,6310,-8528.708497009276,-0.02559988606851482,International Equity
EFA,2020-07-06,2020-07-07,EFA_BELOW_SMA200,53.22915267944336,52.44911193847656,6086,-4768.628949523926,-0.014654389591064132,International Equity
EFA,2020-07-08,2020-07-09,EFA_BELOW_SMA200,52.8900032043457,52.288021087646484,6035,-3654.084574279785,-0.01138177500903903,International Equity
EFA,2020-07-10,2020-07-13,EFA_BELOW_SMA200,52.84761428833008,52.50846862792969,5970,-2045.594592590332,-0.006417426121641978,International Equity
EFA,2020-07-14,2021-10-04,EFA_BELOW_SMA200,53.280025482177734,67.15081787109375,5884,81595.14841638184,0.26033757047574646,International Equity
EFA,2021-10-05,2021-10-06,EFA_BELOW_SMA200,67.61076354980469,67.15950012207031,5844,-2657.6374716796877,-0.0066744317626580285,International Equity
EFA,2021-10-07,2021-11-26,EFA_BELOW_SMA200,67.68018341064453,66.93387603759766,5799,-4348.1329562988285,-0.011026970310034634,International Equity
EFA,2021-12-07,2021-12-13,EFA_BELOW_SMA200,68.91248321533203,67.97467041015625,5636,-5305.238969970703,-0.013608750714226625,International Equity
EFA,2021-12-15,2021-12-17,EFA_BELOW_SMA200,68.53089141845703,67.67447662353516,5591,-4807.783618408203,-0.012496770101712462,International Equity
EFA,2021-12-22,2022-01-18,EFA_BELOW_SMA200,68.9105453491211,68.86701202392578,5491,-258.25998864746094,-0.0006317367679323782,International Equity
EFA,2022-11-11,2022-11-14,EFA_BELOW_SMA200,59.19535446166992,58.57139205932617,6599,-4140.624393066406,-0.010540732596639457,International Equity
EFA,2022-11-18,2022-11-21,EFA_BELOW_SMA200,58.9150276184082,58.471923828125,6565,-2931.9538832092285,-0.007521065646496461,International Equity
EFA,2022-11-22,2023-09-21,EFA_BELOW_SMA200,59.28578567504883,64.57174682617188,6475,34203.93595352173,0.08916068313736991,International Equity
EFA,2023-11-14,2024-11-12,EFA_BELOW_SMA200,65.69047546386719,74.01900482177734,6414,53396.73830163574,0.1267844280178978,International Equity
EFA,2024-12-02,2024-12-12,EFA_BELOW_SMA200,75.4287109375,75.35250091552734,6310,-502.9702386474609,-0.001010358271080647,International Equity
EFA,2025-01-21,2025-01-22,EFA_BELOW_SMA200,75.62617492675781,75.45238494873047,6319,-1120.2953711547852,-0.002298013593780901,International Equity
EFA,2025-01-23,2025-04-04,EFA_BELOW_SMA200,76.07029724121094,72.43042755126953,6268,-22836.641216552733,-0.047848763866397914,International Equity
EFA,2025-04-14,2026-03-05,EFA_BACKTEST_END,77.06474304199219,99.16000366210938,5898,130297.20413745118,0.2867103651805807,International Equity
