symbol,current_price,value_score,tech_score,combined_score,sector,pe_ratio,pb_ratio,peg_ratio,roe,debt_equity,dividend_yield,market_cap,beta,trend,suggested_sl,suggested_tp,revenue_growth,earnings_growth
BAC,56.53,83,100.0,89.8,Financial Services,14.83727,1.4705652,,,,,0,1.273,ALCISTA,54.22620369960779,62.673456801045916,,
WFC,93.97,75,100.0,85.0,Financial Services,15.011182,1.7665527,,,,,0,1.062,ALCISTA,89.97775496088268,104.6159867709795,,
BRK-B,508.09,83,77.71236659649226,80.8849466385969,Financial Services,16.25888,0.001047016,,,,,0,0.702,ALCISTA,491.26621095757224,552.953437446474,,
VZ,46.31,80,73.17328888004731,77.26931555201892,Communication Services,11.4064045,1.869525,,,,,0,0.316,ALCISTA,41.16172438601046,60.03873497063877,,
CMCSA,31.37,88,60.07273872184449,76.82909548873779,Communication Services,5.8200374,1.1667783,,,,,0,0.793,ALCISTA,30.01319083138393,34.98815778297619,,
JPM,322.4,65,82.6114965004156,72.04459860016624,Financial Services,16.103895,2.5387626,,,,,0,1.053,ALCISTA,311.5921556968179,351.22091814181897,,
PFE,27.22,68,61.749466128773435,65.49978645150938,Healthcare,20.014706,1.66779,,,,,0,0.441,ALCISTA,26.341006727122735,29.56398206100603,,
XOM,149.05,68,58.1856195328607,64.07424781314428,Energy,22.213116,2.4013598,,,,,0,0.358,ALCISTA,140.46174470449185,171.95201412135512,,
CVX,180.86,60,57.25101181068798,58.90040472427519,Energy,27.237953,1.9047518,,,,,0,0.672,ALCISTA,172.11883523534078,204.16977270575794,,
MRK,121.93,53,64.43217828823283,57.57287131529313,Healthcare,16.748627,5.8493648,,,,,0,0.296,ALCISTA,114.42535053522273,141.94239857273942,,
INTC,50.59,60,50.0,56.0,Technology,,2.2107148,,,,,0,1.377,ALCISTA,45.58092988311958,63.94752031168114,,
PG,159.17,46,66.65475609775933,54.261902439103736,Consumer Defensive,23.58074,7.0764236,,,,,0,0.38,ALCISTA,152.32396741842575,177.42608688419793,,
NEE,89.47,50,60.241395873434996,54.096558349374,Utilities,27.27744,3.4225929,,,,,0,0.761,ALCISTA,86.27316397679508,97.99489606187981,,
PEP,170.49,38,73.41453157841651,52.165812631366606,Consumer Defensive,28.415,11.42082,,,,,0,0.416,ALCISTA,156.6474929710069,207.40335207731496,,
JNJ,239.99,46,59.794131289961236,51.517652515984494,Healthcare,21.738226,7.2841234,,,,,0,0.347,ALCISTA,228.92586396699397,269.4943627546828,,
PM,182.81,50,53.13833469805769,51.25533387922307,Consumer Defensive,25.180439,-28.475077,,,,,0,0.409,ALCISTA,175.38995085356513,202.59679772382634,,
AMGN,384.32,38,69.24119664183078,50.496478656732315,Healthcare,27.026724,23.925793,,,,,0,0.472,ALCISTA,363.39109516824436,440.1304128846816,,
RTX,198.66,50,50.0,50.0,Industrials,39.971832,4.094985,,,,,0,0.418,ALCISTA,194.63657468007625,209.38913418646337,,
KO,79.03,38,66.68007087453364,49.472028349813456,Consumer Defensive,26.168875,10.881179,,,,,0,0.364,ALCISTA,75.25334796687244,89.10107208834016,,
HON,238.38,38,56.919410742249845,45.56776429689994,Industrials,31.44855,9.807052,,,,,0,0.93,ALCISTA,227.64720949690394,267.00077467492275,,
DIS,108.7,75,0.0,45.0,Communication Services,16.008837,1.7796624,,,,,0,1.419,NEUTRAL/BAJISTA,103.94658420870728,121.37577544344725,,
META,661.46,38,52.61610217866587,43.84644087146635,Communication Services,28.171211,7.703309,,,,,0,1.284,ALCISTA,607.333940817381,805.7961578203176,,
GOOGL,322.86,38,50.0,42.8,Communication Services,29.839186,9.398305,,,,,0,1.086,ALCISTA,313.53026581773406,347.73929115270914,,
AAPL,278.12,38,50.0,42.8,Technology,35.205063,46.368786,,,,,0,1.107,ALCISTA,261.0362345950283,323.6767077465912,,
MA,548.74,38,50.0,42.8,Financial Services,33.216705,63.408825,,,,,0,0.821,ALCISTA,529.698991188192,599.5160234981545,,
ABBV,223.43,35,50.0,41.0,Healthcare,94.27426,-149.45149,,,,,0,0.334,ALCISTA,218.09441679186943,237.6582218883482,,
HD,385.15,38,44.76091386852136,40.70436554740854,Consumer Cyclical,26.25426,31.629301,,,,,0,1.089,ALCISTA,377.85988995118447,404.590293463508,,
WMT,131.18,23,65.27738264286384,39.910953057145534,Consumer Defensive,45.86713,10.882694,,,,,0,0.671,ALCISTA,123.59077912506729,151.41792233315394,,
UNH,276.65,65,0.0,39.0,Healthcare,14.408854,2.5152514,,,,,0,0.415,NEUTRAL/BAJISTA,225.62389393311258,412.7196161783663,,
TXN,221.44,23,58.34414888763063,37.13765955505225,Technology,40.631195,12.341991,,,,,0,0.995,ALCISTA,199.37814795322845,280.2716054580575,,
SPY,690.62,60,0.0,36.0,Unknown,27.381319,1.6090117,,,,,0,1.0,NEUTRAL/BAJISTA,681.7456086478169,714.2850436058216,,
QQQ,609.65,60,0.0,36.0,Unknown,32.41897,1.7040088,,,,,0,1.0,NEUTRAL/BAJISTA,593.7829619886882,651.9621013634982,,
COST,1001.16,23,52.777862039243395,34.911144815697355,Consumer Defensive,53.767986,14.666431,,,,,0,1.008,ALCISTA,977.904506908835,1063.1746482431065,,
ACN,240.62,58,0.0,34.8,Technology,19.88595,4.7968583,,,,,0,1.236,NEUTRAL/BAJISTA,214.11847262015215,311.29073967959425,,
ADBE,268.38,53,0.0,31.799999999999997,Technology,16.080288,9.536297,,,,,0,1.515,NEUTRAL/BAJISTA,250.02697249965567,317.3214066675848,,
TMO,542.83,50,0.0,30.0,Healthcare,30.581972,3.821105,,,,,0,0.949,NEUTRAL/BAJISTA,492.4943722304678,677.0583407187528,,
ABT,110.83,50,0.0,30.0,Healthcare,29.79301,3.7822068,,,,,0,0.751,NEUTRAL/BAJISTA,103.75534257031362,129.69575314583034,,
CRM,191.35,50,0.0,30.0,Technology,25.581553,3.0031233,,,,,0,1.276,NEUTRAL/BAJISTA,169.49724720484147,249.6240074537561,,
MSFT,401.14,38,0.0,22.8,Technology,25.118347,7.6240616,,,,,0,1.084,NEUTRAL/BAJISTA,357.7352402755723,516.8860259318071,,
V,331.58,38,0.0,22.8,Financial Services,31.163532,16.550863,,,,,0,0.78,NEUTRAL/BAJISTA,326.7949361098792,344.34017037365544,,
AMZN,210.32,38,0.0,22.8,Consumer Cyclical,29.333334,5.490524,,,,,0,1.385,NEUTRAL/BAJISTA,196.38580893693185,247.47784283484836,,
QCOM,137.34,38,0.0,22.8,Technology,27.689516,6.392962,,,,,0,1.238,NEUTRAL/BAJISTA,127.56144214822623,163.4161542713967,,
NKE,63.92,38,0.0,22.8,Consumer Cyclical,37.380116,6.715697,,,,,0,1.279,NEUTRAL/BAJISTA,61.75192451378192,69.70153462991487,,
IBM,298.93,38,0.0,22.8,Technology,26.809866,8.574666,,,,,0,0.691,NEUTRAL/BAJISTA,287.47716949283216,329.47088135244763,,
DHR,216.61,35,0.0,21.0,Healthcare,43.063618,2.9147155,,,,,0,0.958,NEUTRAL/BAJISTA,202.05596722894984,255.42075405613383,,
NVDA,185.41,23,0.0,13.799999999999999,Technology,45.893566,37.900654,,,,,0,2.314,NEUTRAL/BAJISTA,175.96795579993687,210.58878453350167,,
TSLA,411.11,23,0.0,13.799999999999999,Consumer Cyclical,384.21494,18.774717,,,,,0,1.887,NEUTRAL/BAJISTA,388.8110898369849,470.5737604347071,,
AVGO,332.495,23,0.0,13.799999999999999,Technology,69.85188,5.6144776,,,,,0,1.221,NEUTRAL/BAJISTA,319.9758081978203,365.8795114724792,,
AMD,208.44,23,0.0,13.799999999999999,Technology,79.862076,5.393014,,,,,0,1.949,NEUTRAL/BAJISTA,175.82475784066534,295.41397909155904,,
